geoid,name,pop
5001600US1222,"Congressional District 22 (116th Congress), Florida",549615
5001600US1223,"Congressional District 23 (116th Congress), Florida",512459
5001600US1224,"Congressional District 24 (116th Congress), Florida",464185
5001600US1225,"Congressional District 25 (116th Congress), Florida",466682
5001600US1226,"Congressional District 26 (116th Congress), Florida",481612
5001600US1227,"Congressional District 27 (116th Congress), Florida",457408
5001600US1301,"Congressional District 1 (116th Congress), Georgia",559876
5001600US1302,"Congressional District 2 (116th Congress), Georgia",502891
5001600US1303,"Congressional District 3 (116th Congress), Georgia",554271
5001600US1304,"Congressional District 4 (116th Congress), Georgia",533857
5001600US1305,"Congressional District 5 (116th Congress), Georgia",596247
5001600US1306,"Congressional District 6 (116th Congress), Georgia",502565
5001600US1307,"Congressional District 7 (116th Congress), Georgia",501852
5001600US1308,"Congressional District 8 (116th Congress), Georgia",522995
5001600US1309,"Congressional District 9 (116th Congress), Georgia",567736
5001600US1310,"Congressional District 10 (116th Congress), Georgia",563658
5001600US1311,"Congressional District 11 (116th Congress), Georgia",552348
5001600US1312,"Congressional District 12 (116th Congress), Georgia",547340
5001600US1313,"Congressional District 13 (116th Congress), Georgia",550568
5001600US1314,"Congressional District 14 (116th Congress), Georgia",525633
5001600US1501,"Congressional District 1 (116th Congress), Hawaii",518980
5001600US1502,"Congressional District 2 (116th Congress), Hawaii",495055
5001600US1601,"Congressional District 1 (116th Congress), Idaho",682493
5001600US1602,"Congressional District 2 (116th Congress), Idaho",600137
5001600US1701,"Congressional District 1 (116th Congress), Illinois",525671
5001600US1702,"Congressional District 2 (116th Congress), Illinois",504853
5001600US1703,"Congressional District 3 (116th Congress), Illinois",485828
5001600US1704,"Congressional District 4 (116th Congress), Illinois",396371
5001600US1705,"Congressional District 5 (116th Congress), Illinois",535070
5001600US1706,"Congressional District 6 (116th Congress), Illinois",517458
5001600US1707,"Congressional District 7 (116th Congress), Illinois",527605
5001600US1708,"Congressional District 8 (116th Congress), Illinois",456651
5001600US1709,"Congressional District 9 (116th Congress), Illinois",505966
5001600US1710,"Congressional District 10 (116th Congress), Illinois",469258
5001600US1711,"Congressional District 11 (116th Congress), Illinois",478947
5001600US1712,"Congressional District 12 (116th Congress), Illinois",525580
5001600US1713,"Congressional District 13 (116th Congress), Illinois",541694
5001600US1714,"Congressional District 14 (116th Congress), Illinois",523833
5001600US1715,"Congressional District 15 (116th Congress), Illinois",529276
5001600US1716,"Congressional District 16 (116th Congress), Illinois",530970
5001600US1717,"Congressional District 17 (116th Congress), Illinois",503019
5001600US1718,"Congressional District 18 (116th Congress), Illinois",529986
5001600US1801,"Congressional District 1 (116th Congress), Indiana",540076
5001600US1802,"Congressional District 2 (116th Congress), Indiana",524091
5001600US1803,"Congressional District 3 (116th Congress), Indiana",542756
5001600US1804,"Congressional District 4 (116th Congress), Indiana",567896
5001600US1805,"Congressional District 5 (116th Congress), Indiana",585141
5001600US1806,"Congressional District 6 (116th Congress), Indiana",553631
5001600US1807,"Congressional District 7 (116th Congress), Indiana",531047
5001600US1808,"Congressional District 8 (116th Congress), Indiana",547306
5001600US1809,"Congressional District 9 (116th Congress), Indiana",586412
5001600US1901,"Congressional District 1 (116th Congress), Iowa",581804
5001600US1902,"Congressional District 2 (116th Congress), Iowa",589622
5001600US1903,"Congressional District 3 (116th Congress), Iowa",614259
5001600US1904,"Congressional District 4 (116th Congress), Iowa",563102
5001600US2001,"Congressional District 1 (116th Congress), Kansas",501367
5001600US2002,"Congressional District 2 (116th Congress), Kansas",544073
5001600US2003,"Congressional District 3 (116th Congress), Kansas",540910
5001600US2004,"Congressional District 4 (116th Congress), Kansas",517398
5001600US2101,"Congressional District 1 (116th Congress), Kentucky",555777
5001600US2102,"Congressional District 2 (116th Congress), Kentucky",577344
5001600US2103,"Congressional District 3 (116th Congress), Kentucky",548524
5001600US2104,"Congressional District 4 (116th Congress), Kentucky",568729
5001600US2105,"Congressional District 5 (116th Congress), Kentucky",534351
5001600US2106,"Congressional District 6 (116th Congress), Kentucky",582777
5001600US2201,"Congressional District 1 (116th Congress), Louisiana",588760
5001600US2202,"Congressional District 2 (116th Congress), Louisiana",592763
5001600US2203,"Congressional District 3 (116th Congress), Louisiana",579437
5001600US2204,"Congressional District 4 (116th Congress), Louisiana",555133
5001600US2205,"Congressional District 5 (116th Congress), Louisiana",554470
5001600US2206,"Congressional District 6 (116th Congress), Louisiana",592809
5001600US2301,"Congressional District 1 (116th Congress), Maine",550561
5001600US2302,"Congressional District 2 (116th Congress), Maine",528209
5001600US2401,"Congressional District 1 (116th Congress), Maryland",567020
5001600US2402,"Congressional District 2 (116th Congress), Maryland",547348
5001600US2403,"Congressional District 3 (116th Congress), Maryland",559105
5001600US2404,"Congressional District 4 (116th Congress), Maryland",499522
5001600US2405,"Congressional District 5 (116th Congress), Maryland",548323
5001600US2406,"Congressional District 6 (116th Congress), Maryland",534386
5001600US2407,"Congressional District 7 (116th Congress), Maryland",539189
5001600US2408,"Congressional District 8 (116th Congress), Maryland",522028
5001600US2501,"Congressional District 1 (116th Congress), Massachusetts",561563
5001600US2502,"Congressional District 2 (116th Congress), Massachusetts",573313
