geoid,name,pop
9700000US1200180,"Broward County School District, Florida",1308132
9700000US1200240,"Charlotte County School District, Florida",159653
9700000US1200270,"Citrus County School District, Florida",126179
9700000US1200300,"Clay County School District, Florida",165315
9700000US1200330,"Collier County School District, Florida",274748
9700000US1200360,"Columbia County School District, Florida",54632
9700000US1200390,"Dade County School District, Florida",1625606
9700000US1200480,"Duval County School District, Florida",699932
9700000US1200510,"Escambia County School District, Florida",244023
9700000US1200540,"Flagler County School District, Florida",92260
9700000US1200810,"Hernando County School District, Florida",155115
9700000US1200840,"Highlands County School District, Florida",82330
9700000US1200870,"Hillsborough County School District, Florida",1021724
9700000US1200930,"Indian River County School District, Florida",124090
9700000US1201050,"Lake County School District, Florida",282301
9700000US1201080,"Lee County School District, Florida",584536
9700000US1201110,"Leon County School District, Florida",228515
9700000US1201230,"Manatee County School District, Florida",308838
9700000US1201260,"Marion County School District, Florida",290488
9700000US1201290,"Martin County School District, Florida",126570
9700000US1201320,"Monroe County School District, Florida",58011
9700000US1201350,"Nassau County School District, Florida",69424
9700000US1201380,"Okaloosa County School District, Florida",154994
9700000US1201440,"Orange County School District, Florida",958522
9700000US1201470,"Osceola County School District, Florida",245270
9700000US1201500,"Palm Beach County School District, Florida",1047506
9700000US1201530,"Pasco County School District, Florida",423700
9700000US1201560,"Pinellas County School District, Florida",777991
9700000US1201590,"Polk County School District, Florida",535299
9700000US1201620,"Putnam County School District, Florida",56375
9700000US1201650,"Santa Rosa County School District, Florida",141690
9700000US1201680,"Sarasota County School District, Florida",354071
9700000US1201710,"Seminole County School District, Florida",348809
9700000US1201740,"St. Johns County School District, Florida",201647
9700000US1201770,"St. Lucie County School District, Florida",242735
9700000US1201800,"Sumter County School District, Florida",120663
9700000US1201920,"Volusia County School District, Florida",442483
9700000US1201980,"Walton County School District, Florida",56996
9700000US1300001,"Troup County School District, Georgia",52264
9700000US1300120,"Atlanta City School District, Georgia",394944
9700000US1300290,"Barrow County School District, Georgia",59762
9700000US1300330,"Bartow County School District, Georgia",62317
9700000US1300420,"Bibb County School District, Georgia",113115
9700000US1300630,"Bulloch County School District, Georgia",62609
9700000US1300840,"Carroll County School District, Georgia",67332
9700000US1300930,"Catoosa County School District, Georgia",51810
