geoid,name,pop
0500000US16055,"Kootenai County, Idaho",126057
0500000US16083,"Twin Falls County, Idaho",58406
0500000US17001,"Adams County, Illinois",50846
0500000US17019,"Champaign County, Illinois",156390
0500000US17031,"Cook County, Illinois",3556353
0500000US17037,"DeKalb County, Illinois",80419
0500000US17043,"DuPage County, Illinois",649299
0500000US17089,"Kane County, Illinois",361295
0500000US17091,"Kankakee County, Illinois",82577
0500000US17093,"Kendall County, Illinois",88022
0500000US17097,"Lake County, Illinois",474402
0500000US17099,"LaSalle County, Illinois",83868
0500000US17111,"McHenry County, Illinois",224602
0500000US17113,"McLean County, Illinois",129435
0500000US17115,"Macon County, Illinois",79937
0500000US17119,"Madison County, Illinois",204571
0500000US17143,"Peoria County, Illinois",132553
0500000US17161,"Rock Island County, Illinois",104395
0500000US17163,"St. Clair County, Illinois",196120
0500000US17167,"Sangamon County, Illinois",149643
0500000US17179,"Tazewell County, Illinois",100479
0500000US17183,"Vermilion County, Illinois",57171
0500000US17197,"Will County, Illinois",488450
0500000US17199,"Williamson County, Illinois",51067
0500000US17201,"Winnebago County, Illinois",206153
0500000US18003,"Allen County, Indiana",267715
0500000US18005,"Bartholomew County, Indiana",57664
0500000US18011,"Boone County, Indiana",47930
0500000US18019,"Clark County, Indiana",89488
0500000US18035,"Delaware County, Indiana",92979
0500000US18039,"Elkhart County, Indiana",141092
0500000US18043,"Floyd County, Indiana",59728
0500000US18053,"Grant County, Indiana",51527
0500000US18057,"Hamilton County, Indiana",239526
0500000US18059,"Hancock County, Indiana",60476
0500000US18063,"Hendricks County, Indiana",125668
0500000US18067,"Howard County, Indiana",63075
0500000US18081,"Johnson County, Indiana",116543
0500000US18085,"Kosciusko County, Indiana",57909
0500000US18089,"Lake County, Indiana",360410
0500000US18091,"LaPorte County, Indiana",85320
0500000US18095,"Madison County, Indiana",100127
0500000US18097,"Marion County, Indiana",675236
0500000US18105,"Monroe County, Indiana",118090
0500000US18109,"Morgan County, Indiana",54341
0500000US18127,"Porter County, Indiana",131128
0500000US18141,"St. Joseph County, Indiana",196981
0500000US18157,"Tippecanoe County, Indiana",139465
0500000US18163,"Vanderburgh County, Indiana",138743
0500000US18167,"Vigo County, Indiana",83488
0500000US18177,"Wayne County, Indiana",49708
0500000US19013,"Black Hawk County, Iowa",97942
0500000US19049,"Dallas County, Iowa",65987
0500000US19061,"Dubuque County, Iowa",73687
0500000US19103,"Johnson County, Iowa",111550
0500000US19113,"Linn County, Iowa",168789
0500000US19153,"Polk County, Iowa",347196
0500000US19155,"Pottawattamie County, Iowa",70163
0500000US19163,"Scott County, Iowa",129806
0500000US19169,"Story County, Iowa",76797
0500000US19193,"Woodbury County, Iowa",72473
0500000US20015,"Butler County, Kansas",48298
0500000US20045,"Douglas County, Kansas",94171
0500000US20091,"Johnson County, Kansas",431916
0500000US20103,"Leavenworth County, Kansas",61889
0500000US20161,"Riley County, Kansas",59209
0500000US20173,"Sedgwick County, Kansas",363510
0500000US20177,"Shawnee County, Kansas",133330
0500000US20209,"Wyandotte County, Kansas",100421
0500000US21015,"Boone County, Kentucky",93670
0500000US21029,"Bullitt County, Kentucky",62189
0500000US21037,"Campbell County, Kentucky",73450
0500000US21047,"Christian County, Kentucky",50385
0500000US21059,"Daviess County, Kentucky",74021
0500000US21067,"Fayette County, Kentucky",238116
0500000US21093,"Hardin County, Kentucky",82482
0500000US21111,"Jefferson County, Kentucky",566026
